
==========Welcome to the Peg Solirtaire Simulator==========
              2026 AI 801 Section 001: Group 5

SHALL WE PLAY A GAME?
1. Simulate Peg Solitaire
2. Simulate Peg Duotaire
3. Run Test Bench
4. User Plays Peg Duotaire
5. Launch GUI
Your choice: Running Test Bench...
Select test type: 
1. Compare Performance of Search Algorithms
2. Compare Performance of Game Algorithms
3. Compare Performance of Dict and Bitmask Data Structures
4. Compare Performance of Different Direction Orders

depth_first_bfs on Triangle board
   1.79 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['East', 'Northeast', 'West', 'Southeast', 'Southwest', 'Northwest']
   1.79 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['East', 'Northeast', 'West', 'Southeast', 'Northwest', 'Southwest']
   1.79 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['East', 'Northeast', 'West', 'Southwest', 'Southeast', 'Northwest']
   1.82 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['East', 'Northeast', 'West', 'Southwest', 'Northwest', 'Southeast']
   1.78 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['East', 'Northeast', 'West', 'Northwest', 'Southeast', 'Southwest']
   1.83 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['East', 'Northeast', 'West', 'Northwest', 'Southwest', 'Southeast']
   1.81 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['East', 'Northeast', 'Southeast', 'West', 'Southwest', 'Northwest']
   1.78 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['East', 'Northeast', 'Southeast', 'West', 'Northwest', 'Southwest']
   1.78 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['East', 'Northeast', 'Southeast', 'Southwest', 'West', 'Northwest']
   1.51 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Northeast', 'Southeast', 'Southwest', 'Northwest', 'West']
   1.50 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Northeast', 'Southeast', 'Northwest', 'West', 'Southwest']
   1.51 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Northeast', 'Southeast', 'Northwest', 'Southwest', 'West']
   7.89 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['East', 'Northeast', 'Southwest', 'West', 'Southeast', 'Northwest']
